"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"148","a_psu[131]",-0.073127143822,-0.0740511,0.96617316198637,0.94122208656,-1.6729555,1.521067,0.999362155649466,3310.12682745244,1402.15822026873
"149","a_psu[132]",-0.062153007949,-0.0461266,1.03042127295029,1.00488315144,-1.728678,1.632341,1.00192020570546,3704.91015360713,1279.94808241358
"150","a_psu[133]",0.139034748803,0.148198,1.00282037130519,1.0214787828,-1.567068,1.7314125,1.00177871713973,2329.94918228256,1354.89002220228
"151","a_psu[134]",-0.01175003763345,-0.0354895,0.963867501792506,1.00171869,-1.5899125,1.5788205,1.00034881721095,3226.7231830713,1550.76711933738
"152","a_psu[135]",-0.071994986063,-0.08996435,1.04678335331589,1.01666945079,-1.77411,1.671633,0.999611674949513,3965.09385809586,1495.4839505821
"153","a_psu[136]",-0.0426117073385,-0.05052095,0.961160551758463,0.9878460018,-1.6253725,1.550175,1.00293068466762,2881.41844006572,1589.72057872599
"154","a_psu[137]",-0.032468498026,-0.03827635,0.994800086783786,1.0003724892,-1.6683985,1.5668205,1.00318282095085,4782.07560327583,1520.24228002799
"155","a_psu[138]",0.1116148546785,0.0969051,0.983814736599306,0.9762187113,-1.505468,1.7667245,1.00365396431147,3002.19942668222,1471.80321570481
"156","a_psu[139]",-0.070960244965,-0.0535623,0.97315516423012,1.0146195339,-1.6659105,1.492804,1.00082141365677,3739.85508046607,1302.45903183268
"157","a_psu[140]",-0.05829362868,-0.04150595,1.02067807282068,1.021192641,-1.7354465,1.606348,1.00520649973101,4140.89775267943,1392.93677297946
"158","a_psu[141]",-0.04142399537,-0.02226495,0.948899075277572,0.95009907993,-1.6189825,1.543809,1.00327972177285,4351.7834852975,1495.65855103126
"159","a_psu[142]",-0.0674493491705,-0.09485975,1.03050317469487,1.01091488715,-1.7504895,1.6728465,1.00293094709268,4112.07434309723,1427.8593979134
"160","a_psu[143]",-0.004146607477,-0.01292005,1.0318396753826,1.0242356775,-1.65589,1.697507,1.00826119570393,4136.84307232308,1289.25083438536
"161","a_psu[144]",-0.02495589567,-0.01766125,0.967575883539516,0.94843886445,-1.6159385,1.603233,1.00442441373129,3724.60234634416,942.201203246745
"162","a_psu[145]",-0.05096699474195,-0.06781025,0.984545482398542,0.98637785715,-1.663924,1.6079415,1.00121203865684,2967.48228360043,1347.56137965056
"163","a_psu[146]",0.195205807882,0.225492,1.03422279492815,1.0599137052,-1.5150245,1.8397265,1.00755264359603,4260.34924919767,1381.81495373202
"164","a_psu[147]",0.0475685849805,0.05358575,1.01299893929022,1.0082243388,-1.5892295,1.703295,1.00076469587748,3076.67048814349,1495.56411449334
"165","a_psu[148]",-0.04277777502356,-0.03413255,1.03042651371849,1.0238880078,-1.720745,1.588217,1.00111718583742,2717.03278485003,1402.25803602699
"166","a_psu[149]",-0.060062302134,-0.0711899,0.976894721759614,1.00258956924,-1.641207,1.5311585,1.00390380019506,3204.40369606296,1439.99150230699
