"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"103","a_psu[85]",0.381962801235,0.3908845,0.933166799800905,0.9663838842,-1.108151,1.870173,1.00163613549511,3868.18332275622,1174.4191013483
"104","a_psu[86]",-0.167475586698,-0.159201,0.934930467240969,0.9290853747,-1.6744315,1.3549335,0.999154547194406,4305.94299175934,1439.40097372811
"105","a_psu[87]",-0.17011548438,-0.155554,0.93350498894274,0.9323760054,-1.7046755,1.30622,1.00488911215433,3893.63755398134,1457.61113318235
"106","a_psu[88]",0.3121112995495,0.330837,0.812496873804872,0.781945479,-1.0392385,1.66315,0.999010341936743,3822.26349456353,1299.22555307446
"107","a_psu[89]",-0.032965257978,-0.03497685,0.824608941012793,0.8156182902,-1.4035455,1.303763,1.00575419548228,5643.06152428614,1095.59881818693
"108","a_psu[90]",-0.232914015836,-0.237591,0.898448515090917,0.8827800702,-1.7622635,1.238625,1.0004680206741,4555.38090286003,1360.27144763167
"109","a_psu[91]",-0.23747231242,-0.2175915,0.957562083434143,0.9757250055,-1.834105,1.3150945,1.00083782614314,2937.0963847769,1417.27398295583
"110","a_psu[92]",-0.1889477956465,-0.207504,0.97819494067328,0.9553273947,-1.8106685,1.4611645,1.00470776597348,3771.15621773228,1253.08552739952
"111","a_psu[93]",-0.1403445380651,-0.1667555,0.971633722506843,0.9714729087,-1.728688,1.4153325,1.00126051580909,3021.59422473325,1409.84982384039
"112","a_psu[94]",-0.2874687231243,-0.2798815,0.969426255403198,1.0102984962,-1.874286,1.248286,1.00181688790225,3785.3963117714,1483.17229171623
"113","a_psu[95]",-0.367982985636,-0.3959455,0.938235331884774,0.9565297833,-1.879419,1.167779,1.00137097291328,3059.20632225309,1391.7171108538
"114","a_psu[96]",-0.042453950679,-0.0119283,0.908031615770271,0.93412443558,-1.561065,1.391852,1.00813512040561,3200.58351130735,1419.94158541126
"115","a_psu[97]",-0.3131009412084,-0.297602,0.990535190609434,0.9965503464,-1.9065605,1.293655,1.00322615932313,3758.03196145269,1624.54610363432
"116","a_psu[98]",0.3084380030575,0.3228885,0.83382867150273,0.8286666528,-1.0728665,1.6402015,1.00051517307161,4328.66748284662,1591.34526191291
